School Name,School Code,School ID
Gardner-Webb University,U2Nob29sLTM0OQ==,349
Geneva College,U2Nob29sLTM1MA==,350
George Fox University,U2Nob29sLTM1MQ==,351
George Washington University,U2Nob29sLTM1Mw==,353
Georgetown College,U2Nob29sLTM1NA==,354
Georgetown University,U2Nob29sLTM1NQ==,355
Georgia Baptist College of Nursing,U2Nob29sLTM1Ng==,356
Georgia College,U2Nob29sLTM1Nw==,357
Georgia Southern University,U2Nob29sLTM1OA==,358
Georgia Southwestern State University,U2Nob29sLTM1OQ==,359
Georgia State University,U2Nob29sLTM2MA==,360
Georgia Institute of Technology,U2Nob29sLTM2MQ==,361
Georgian Court University,U2Nob29sLTM2Mg==,362
Gettysburg College,U2Nob29sLTM2Mw==,363
Glendale University College of Law,U2Nob29sLTM2NA==,364
Glenville State University,U2Nob29sLTM2NQ==,365
Kettering University,U2Nob29sLTM2Ng==,366
Goddard College,U2Nob29sLTM2Nw==,367
Goldey-Beacom College,U2Nob29sLTM2OQ==,369
Gonzaga University,U2Nob29sLTM3MA==,370
Gordon College,U2Nob29sLTM3MQ==,371
Goshen College,U2Nob29sLTM3Mg==,372
Goucher College,U2Nob29sLTM3Mw==,373
Governors State University,U2Nob29sLTM3NA==,374
Grace College and Theological Seminary,U2Nob29sLTM3NQ==,375
Grace University,U2Nob29sLTM3Ng==,376
Graceland University,U2Nob29sLTM3Nw==,377
Grand Canyon University,U2Nob29sLTM3OA==,378
Grand Valley State University,U2Nob29sLTM3OQ==,379
Green Mountain College,U2Nob29sLTM4MA==,380
Greensboro College,U2Nob29sLTM4MQ==,381
Greenville University,U2Nob29sLTM4Mg==,382
Grinnell College,U2Nob29sLTM4Mw==,383
Guilford College,U2Nob29sLTM4NQ==,385
Gustavus Adolphus College,U2Nob29sLTM4Ng==,386
Gutenberg College,U2Nob29sLTM4Nw==,387
Gwynedd-Mercy University,U2Nob29sLTM4OA==,388
Hamilton College,U2Nob29sLTM4OQ==,389
Hamline University,U2Nob29sLTM5MA==,390
Hampden-Sydney College,U2Nob29sLTM5MQ==,391
Hampshire College,U2Nob29sLTM5Mg==,392
Hampton University,U2Nob29sLTM5Mw==,393
Hannibal-LaGrange University,U2Nob29sLTM5NA==,394
Hanover College,U2Nob29sLTM5NQ==,395
Harding University,U2Nob29sLTM5Ng==,396
Hardin-Simmons University,U2Nob29sLTM5Nw==,397
Hartwick College,U2Nob29sLTM5OA==,398
Harvard University,U2Nob29sLTM5OQ==,399
Harvey Mudd College,U2Nob29sLTQwMA==,400
Hastings College,U2Nob29sLTQwMQ==,401
Haverford College,U2Nob29sLTQwMg==,402
Hebrew College,U2Nob29sLTQwNA==,404
Heidelberg College,U2Nob29sLTQwNQ==,405
Henderson State University,U2Nob29sLTQwNg==,406
Hendrix College,U2Nob29sLTQwNw==,407
Heritage University,U2Nob29sLTQwOA==,408
High Point University,U2Nob29sLTQwOQ==,409
Hillsdale College,U2Nob29sLTQxMA==,410
Hiram College,U2Nob29sLTQxMQ==,411
Hobart and William Smith Colleges,U2Nob29sLTQxMg==,412
Hofstra University,U2Nob29sLTQxMw==,413
Hollins University,U2Nob29sLTQxNA==,414
Holy Names University,U2Nob29sLTQxNQ==,415
Hood College,U2Nob29sLTQxNg==,416
Houghton College,U2Nob29sLTQxOA==,418
Houston Christian University,U2Nob29sLTQxOQ==,419
Cal Polytechnic Humboldt,U2Nob29sLTQyMg==,422
Huntingdon College,U2Nob29sLTQyMw==,423
Huntington University,U2Nob29sLTQyNA==,424
Huron University,U2Nob29sLTQyNQ==,425
Husson University,U2Nob29sLTQyNg==,426
Huston-Tillotson University,U2Nob29sLTQyNw==,427
Global University,U2Nob29sLTQyOA==,428
Idaho State University,U2Nob29sLTQyOQ==,429
Illinois College,U2Nob29sLTQzMA==,430
Illinois Institute of Technology,U2Nob29sLTQzMQ==,431
Illinois State University,U2Nob29sLTQzMg==,432
Illinois Wesleyan University,U2Nob29sLTQzMw==,433
Immaculata University,U2Nob29sLTQzNA==,434
Indiana University - Purdue University,U2Nob29sLTQzOA==,438
Indiana University at Kokomo,U2Nob29sLTQzOQ==,439
Indiana University Bloomington,U2Nob29sLTQ0MA==,440
Indiana University East,U2Nob29sLTQ0MQ==,441
Indiana University Northwest,U2Nob29sLTQ0Mg==,442
Indiana University of Pennsylvania,U2Nob29sLTQ0Mw==,443
Indiana University Southeast,U2Nob29sLTQ0NA==,444
Indiana University-Purdue University at Fort Wayne,U2Nob29sLTQ0NQ==,445
Indiana University-Purdue University Indianapolis,U2Nob29sLTQ0Ng==,446
Indiana Wesleyan University,U2Nob29sLTQ0Nw==,447
Institute for Christian Studies,U2Nob29sLTQ0OA==,448
